Protein Pair,τ-equiv (τ=1.5Å),δ-equiv (δ=3Å),δ-r.m.s. (Å)
Lcasei DHFR vs Ecoli DHFR,25,41,2.08
Haemoglobin-a vs Myoglobin,24,28,1.98
T4 Lysozyme vs Hen Lysozyme,26,27,2.2
Cytochrome-c vs Cytochrome-c2,23,78,1.79
Azurin vs Plastocyanin,29,30,2.35
